"Modelo","AIC","BIC","LogLik"
"Poisson",36596.9885633343,36641.7236210258,-18291.4942816671
"Binomial Negativa",24469.9066812984,24521.0324615173,-12226.9533406492
"Hurdle NB",24331.120217944,24414.1996107998,-12152.560108972
"ZINB",24336.8618876172,24419.9412804729,-12155.4309438086
